Algoritmo,Alineamiento.Tiempo,Alineamiento.Score,Alineamiento.Long,Num,Test_Name
ClustalW,0.167830228805542,2.1818181818181817,44,5,DataPrueba_2111
Simulated Annealing,617.2141706943512,2.425,40,5,DataPrueba_2111
Simulated Annealing,618.7109990119934,2.55,40,5,DataPrueba_2111
ClustalW,0.11951279640197754,2.1818181818181817,44,5,DataPrueba_2111
ClustalW,0.13758516311645508,2.1818181818181817,44,5,DataPrueba_2111
ClustalW,0.13677024841308594,2.1818181818181817,44,5,DataPrueba_2111
ClustalW,0.1314375400543213,2.1818181818181817,44,5,DataPrueba_2111
ClustalW,0.14034080505371094,2.1818181818181817,44,5,DataPrueba_2111
ClustalW,0.20506548881530762,2.1818181818181817,44,5,DataPrueba_2111
Simulated Annealing,618.1636440753937,2.325,40,5,DataPrueba_2111
ClustalW,0.13962125778198242,2.1818181818181817,44,5,DataPrueba_2111
Simulated Annealing,615.3628253936768,2.6,40,5,DataPrueba_2111
ClustalW,0.1462845802307129,2.1818181818181817,44,5,DataPrueba_2111
ClustalW,0.11532473564147949,2.1818181818181817,44,5,DataPrueba_2111
Simulated Annealing,605.3470373153687,2.525,40,5,DataPrueba_2111
ClustalW,0.13082361221313477,2.1818181818181817,44,5,DataPrueba_2111
ClustalW,0.12147259712219238,2.1818181818181817,44,5,DataPrueba_2111
ClustalW,0.11255002021789551,2.1818181818181817,44,5,DataPrueba_2111
MUSCLE,0.10552287101745605,0.5660377358490566,53,10,DataPrueba_2111
MUSCLE,0.10872602462768555,0.5660377358490566,53,10,DataPrueba_2111
MUSCLE,0.10467147827148438,0.5660377358490566,53,10,DataPrueba_2111
MUSCLE,0.10457468032836914,0.5660377358490566,53,10,DataPrueba_2111
MUSCLE,0.10577273368835449,0.5660377358490566,53,10,DataPrueba_2111
MUSCLE,0.10428452491760254,0.5660377358490566,53,10,DataPrueba_2111
MUSCLE,0.10503578186035156,0.5660377358490566,53,10,DataPrueba_2111
MUSCLE,0.10475468635559082,0.5660377358490566,53,10,DataPrueba_2111
MUSCLE,0.10497331619262695,0.5660377358490566,53,10,DataPrueba_2111
MUSCLE,0.10479617118835449,0.5660377358490566,53,10,DataPrueba_2111
MUSCLE,0.10771369934082031,0.6521739130434783,69,15,DataPrueba_2111
MUSCLE,0.10511589050292969,0.6521739130434783,69,15,DataPrueba_2111
MUSCLE,0.10679292678833008,0.6521739130434783,69,15,DataPrueba_2111
MUSCLE,0.10702228546142578,0.6521739130434783,69,15,DataPrueba_2111
MUSCLE,0.1068885326385498,0.6521739130434783,69,15,DataPrueba_2111
MUSCLE,0.10564231872558594,0.6521739130434783,69,15,DataPrueba_2111
MUSCLE,0.10779285430908203,0.6521739130434783,69,15,DataPrueba_2111
MUSCLE,0.1066739559173584,0.6521739130434783,69,15,DataPrueba_2111
MUSCLE,0.10676884651184082,0.6521739130434783,69,15,DataPrueba_2111
MUSCLE,0.10515308380126953,0.6521739130434783,69,15,DataPrueba_2111
MUSCLE,0.10590124130249023,0.821917808219178,73,20,DataPrueba_2111
MUSCLE,0.10667657852172852,0.821917808219178,73,20,DataPrueba_2111
MUSCLE,0.10616350173950195,0.821917808219178,73,20,DataPrueba_2111
MUSCLE,0.10517024993896484,0.821917808219178,73,20,DataPrueba_2111
MUSCLE,0.10443711280822754,0.821917808219178,73,20,DataPrueba_2111
MUSCLE,0.11110973358154297,0.821917808219178,73,20,DataPrueba_2111
MUSCLE,0.10482645034790039,0.821917808219178,73,20,DataPrueba_2111
MUSCLE,0.10747957229614258,0.821917808219178,73,20,DataPrueba_2111
MUSCLE,0.10496258735656738,0.821917808219178,73,20,DataPrueba_2111
MUSCLE,0.10765719413757324,0.821917808219178,73,20,DataPrueba_2111
MUSCLE,0.10898852348327637,1.2096774193548387,62,25,DataPrueba_2111
MUSCLE,0.10482120513916016,1.2096774193548387,62,25,DataPrueba_2111
MUSCLE,0.10627126693725586,1.2096774193548387,62,25,DataPrueba_2111
MUSCLE,0.10595440864562988,1.2096774193548387,62,25,DataPrueba_2111
MUSCLE,0.10494136810302734,1.2096774193548387,62,25,DataPrueba_2111
MUSCLE,0.1077570915222168,1.2096774193548387,62,25,DataPrueba_2111
MUSCLE,0.10606718063354492,1.2096774193548387,62,25,DataPrueba_2111
MUSCLE,0.10643935203552246,1.2096774193548387,62,25,DataPrueba_2111
MUSCLE,0.10520076751708984,1.2096774193548387,62,25,DataPrueba_2111
MUSCLE,0.10932350158691406,1.2096774193548387,62,25,DataPrueba_2111
MUSCLE,0.10561227798461914,0.14285714285714285,42,2,DataPrueba_2111
MUSCLE,0.10532832145690918,0.14285714285714285,42,2,DataPrueba_2111
MUSCLE,0.10966634750366211,0.14285714285714285,42,2,DataPrueba_2111
MUSCLE,0.1043553352355957,0.14285714285714285,42,2,DataPrueba_2111
MUSCLE,0.1040503978729248,0.14285714285714285,42,2,DataPrueba_2111
MUSCLE,0.10494422912597656,0.14285714285714285,42,2,DataPrueba_2111
MUSCLE,0.10370302200317383,0.14285714285714285,42,2,DataPrueba_2111
MUSCLE,0.10430407524108887,0.14285714285714285,42,2,DataPrueba_2111
MUSCLE,0.10466670989990234,0.14285714285714285,42,2,DataPrueba_2111
MUSCLE,0.10580945014953613,0.14285714285714285,42,2,DataPrueba_2111
MUSCLE,0.10558843612670898,1.3432835820895523,67,30,DataPrueba_2111
MUSCLE,0.10530567169189453,1.3432835820895523,67,30,DataPrueba_2111
MUSCLE,0.10921144485473633,1.3432835820895523,67,30,DataPrueba_2111
MUSCLE,0.10601115226745605,1.3432835820895523,67,30,DataPrueba_2111
MUSCLE,0.10501909255981445,1.3432835820895523,67,30,DataPrueba_2111
MUSCLE,0.10744237899780273,1.3432835820895523,67,30,DataPrueba_2111
MUSCLE,0.1059415340423584,1.3432835820895523,67,30,DataPrueba_2111
MUSCLE,0.10520768165588379,1.3432835820895523,67,30,DataPrueba_2111
MUSCLE,0.1049203872680664,1.3432835820895523,67,30,DataPrueba_2111
MUSCLE,0.10848379135131836,1.3432835820895523,67,30,DataPrueba_2111
MUSCLE,0.10534262657165527,1.721311475409836,61,35,DataPrueba_2111
MUSCLE,0.10607600212097168,1.721311475409836,61,35,DataPrueba_2111
MUSCLE,0.10686063766479492,1.721311475409836,61,35,DataPrueba_2111
MUSCLE,0.1080317497253418,1.721311475409836,61,35,DataPrueba_2111
MUSCLE,0.10614371299743652,1.721311475409836,61,35,DataPrueba_2111
MUSCLE,0.10991287231445312,1.721311475409836,61,35,DataPrueba_2111
MUSCLE,0.10563445091247559,1.721311475409836,61,35,DataPrueba_2111
MUSCLE,0.10670280456542969,1.721311475409836,61,35,DataPrueba_2111
MUSCLE,0.10760951042175293,1.721311475409836,61,35,DataPrueba_2111
MUSCLE,0.1083981990814209,1.721311475409836,61,35,DataPrueba_2111
MUSCLE,0.20551156997680664,1.6901408450704225,71,40,DataPrueba_2111
